Driver,LapTime,Compound,TyreLife,Stint,TrackStatus,Race,LapNumber,FuelWeightEffect
NOR,87.344,MEDIUM,2.0,1.0,1,Australian Grand Prix,1,-0.03
NOR,86.863,MEDIUM,3.0,1.0,1,Australian Grand Prix,2,-0.06
NOR,85.857,MEDIUM,4.0,1.0,1,Australian Grand Prix,3,-0.09
NOR,85.573,MEDIUM,5.0,1.0,1,Australian Grand Prix,4,-0.12
NOR,85.036,MEDIUM,6.0,1.0,1,Australian Grand Prix,5,-0.15
NOR,84.978,MEDIUM,7.0,1.0,1,Australian Grand Prix,6,-0.18
NOR,85.299,MEDIUM,8.0,1.0,1,Australian Grand Prix,7,-0.21
NOR,85.639,MEDIUM,9.0,1.0,1,Australian Grand Prix,8,-0.24
NOR,85.295,MEDIUM,10.0,1.0,1,Australian Grand Prix,9,-0.27
NOR,84.233,HARD,3.0,2.0,1,Australian Grand Prix,10,-0.3
NOR,83.784,HARD,4.0,2.0,1,Australian Grand Prix,11,-0.32999999999999996
NOR,83.912,HARD,5.0,2.0,1,Australian Grand Prix,12,-0.36
NOR,84.053,HARD,6.0,2.0,1,Australian Grand Prix,13,-0.39
NOR,85.774,HARD,9.0,2.0,71,Australian Grand Prix,14,-0.42
NOR,83.972,HARD,10.0,2.0,1,Australian Grand Prix,15,-0.44999999999999996
NOR,83.687,HARD,11.0,2.0,1,Australian Grand Prix,16,-0.48
NOR,83.534,HARD,12.0,2.0,1,Australian Grand Prix,17,-0.51
NOR,83.394,HARD,13.0,2.0,1,Australian Grand Prix,18,-0.54
NOR,83.5,HARD,14.0,2.0,1,Australian Grand Prix,19,-0.57
NOR,83.403,HARD,15.0,2.0,1,Australian Grand Prix,20,-0.6
NOR,83.896,HARD,16.0,2.0,1,Australian Grand Prix,21,-0.63
NOR,84.04,HARD,17.0,2.0,1,Australian Grand Prix,22,-0.6599999999999999
NOR,84.08,HARD,18.0,2.0,1,Australian Grand Prix,23,-0.69
NOR,83.961,HARD,19.0,2.0,1,Australian Grand Prix,24,-0.72
NOR,84.094,HARD,20.0,2.0,1,Australian Grand Prix,25,-0.75
NOR,84.075,HARD,21.0,2.0,1,Australian Grand Prix,26,-0.78
NOR,84.79,HARD,22.0,2.0,1,Australian Grand Prix,27,-0.8099999999999999
NOR,83.324,MEDIUM,2.0,3.0,1,Australian Grand Prix,28,-0.84
NOR,83.448,MEDIUM,3.0,3.0,1,Australian Grand Prix,29,-0.87
NOR,83.423,MEDIUM,4.0,3.0,1,Australian Grand Prix,30,-0.8999999999999999
NOR,84.001,MEDIUM,5.0,3.0,1,Australian Grand Prix,31,-0.9299999999999999
NOR,83.397,MEDIUM,6.0,3.0,1,Australian Grand Prix,32,-0.96
NOR,83.762,MEDIUM,7.0,3.0,1,Australian Grand Prix,33,-0.99
NOR,83.347,MEDIUM,8.0,3.0,1,Australian Grand Prix,34,-1.02
NOR,83.286,MEDIUM,9.0,3.0,1,Australian Grand Prix,35,-1.05
NOR,83.192,MEDIUM,10.0,3.0,1,Australian Grand Prix,36,-1.08
