Driver,LapTime,Compound,TyreLife,TyreLife_sq,Stint,TrackStatus,Race,LapInRace,LapInRace_sq,FuelWeightEffect,DriverForm,Position_normalized,S1_speed,S2_speed,S3_speed,AvgSpeed,IsPersonalBest_int,FreshTire_int,IsStartLap,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed
RUS,85.007,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,85.007,0.05,120.99620206365745,201.782411299815,96.22323791195575,273.75,1,1,0,24.1,36.1,54.1,False,1.6
LEC,86.212,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,86.212,0.1,119.53778722273874,198.01980198019803,94.94672433801034,276.25,1,1,0,24.1,36.1,54.1,False,1.6
HAM,84.626,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,84.626,0.15,120.04801920768307,198.73033397736685,98.56802562768667,279.0,1,1,0,24.1,36.1,54.1,False,1.6
HAD,85.987,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,85.987,0.2,119.24873298221206,192.67822736030828,96.99843724739992,280.25,1,1,0,24.1,36.1,54.1,False,1.6
LIN,87.218,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.218,0.25,116.88311688311687,199.54547974059088,93.806185996821,278.0,1,1,0,24.1,36.1,54.1,False,1.6
NOR,87.344,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.344,0.3,115.8524811739718,198.7193640980349,94.35445824815221,273.25,1,1,0,24.1,36.1,54.1,False,1.6
ANT,87.129,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.129,0.35,116.80726800778716,199.611865816468,94.05862987929142,280.0,1,1,0,24.1,36.1,54.1,False,1.6
OCO,87.035,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.035,0.4,116.07661056297157,200.25588251654892,94.62727368310378,281.0,1,1,0,24.1,36.1,54.1,False,1.6
GAS,87.281,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.281,0.45,115.62178828365879,200.04445432318295,94.36682481847492,278.25,1,1,0,24.1,36.1,54.1,False,1.6
ALO,87.598,SOFT,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.598,0.5,114.74469305794608,195.04794928753319,95.32131225673207,271.0,1,1,0,24.1,36.1,54.1,False,1.6
BOR,87.538,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.538,0.55,115.7854110382092,195.35489472541784,94.69198800568152,278.25,1,1,0,24.1,36.1,54.1,False,1.6
BEA,87.321,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.321,0.6,114.94986908487131,200.31159581571333,94.65961978386055,274.75,1,1,0,24.1,36.1,54.1,False,1.6
ALB,87.78,MEDIUM,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.78,0.65,115.55127587867116,198.23788546255506,93.59157675809176,272.5,1,1,0,24.1,36.1,54.1,False,1.6
VER,86.828,HARD,2.0,4.0,1.0,1,Australian Grand Prix,1,1,-0.03,86.828,0.75,115.38461538461539,199.94445987225774,95.68614942987003,283.25,1,1,0,24.1,36.1,54.1,False,1.6
LEC,85.453,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,85.83250000000001,0.05,119.43863839952225,201.38733497426716,96.1641200983011,279.0,1,1,0,24.1,36.1,54.1,False,1.6
RUS,86.444,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,85.72550000000001,0.1,120.62321996984421,194.24809798737388,94.57258445857195,277.0,0,1,0,24.1,36.1,54.1,False,1.6
HAM,84.874,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,84.75,0.15,119.07518274732907,199.15910599690199,98.45480650895665,280.0,0,1,0,24.1,36.1,54.1,False,1.6
HAD,85.556,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,85.7715,0.2,119.6251744533794,193.5275776798194,97.66684753119914,275.75,1,1,0,24.1,36.1,54.1,False,1.6
LIN,85.497,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.3575,0.25,119.31987670279409,200.3784927084493,96.35974304068523,287.25,1,1,0,24.1,36.1,54.1,False,1.6
ANT,85.463,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.29599999999999,0.3,117.70090891257439,199.53441968739605,97.73313424731913,281.25,1,1,0,24.1,36.1,54.1,False,1.6
NOR,86.863,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,87.1035,0.35,117.87433286401887,197.23865877712035,94.56264775413712,278.75,1,1,0,24.1,36.1,54.1,False,1.6
OCO,86.567,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.80099999999999,0.4,116.63696743884661,200.24474357548112,95.42996500901285,281.0,1,1,0,24.1,36.1,54.1,False,1.6
GAS,86.371,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.826,0.45,117.59709927155131,202.04287798855088,94.88666315234582,283.0,1,1,0,24.1,36.1,54.1,False,1.6
BOR,86.324,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.931,0.5,117.85503830288746,198.6206896551724,95.6099115608318,280.0,1,1,0,24.1,36.1,54.1,False,1.6
BEA,86.384,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.85249999999999,0.55,116.85276551545054,201.94087619902393,95.36676468250813,278.25,1,1,0,24.1,36.1,54.1,False,1.6
ALB,87.512,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,87.646,0.65,114.76298256240237,197.43336623889434,94.96425650900842,282.25,1,1,0,24.1,36.1,54.1,False,1.6
VER,87.096,HARD,3.0,9.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.962,0.7,115.33655848524653,199.65614774554936,95.10725985416889,281.0,0,1,0,24.1,36.1,54.1,False,1.6
COL,86.935,HARD,3.0,9.0,1.0,1,Australian Grand Prix,1,1,-0.03,86.935,0.8,117.62015225275265,196.5065502183406,94.71690170490423,277.75,1,1,0,24.1,36.1,54.1,False,1.6
LAW,86.869,MEDIUM,3.0,9.0,1.0,1,Australian Grand Prix,1,1,-0.03,86.869,0.85,116.74287382041055,196.77507515714674,95.39709038874314,273.75,1,1,0,24.1,36.1,54.1,False,1.6
LEC,84.553,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,85.406,0.05,120.04001333777926,199.501246882793,98.58152144148092,276.75,1,1,0,24.1,36.1,54.1,False,1.6
RUS,84.789,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,85.41333333333334,0.1,120.20434739056397,202.22446916076848,97.19747286570549,281.0,1,1,0,24.1,36.1,54.1,False,1.6
HAM,85.066,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,84.85533333333333,0.15,118.68653567189767,199.76693857166637,98.05790864271512,282.0,0,1,0,24.1,36.1,54.1,False,1.6
HAD,85.342,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,85.62833333333333,0.2,120.17625851248498,191.47917663954047,98.4009840098401,274.5,1,1,0,24.1,36.1,54.1,False,1.6
LIN,86.072,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.26233333333334,0.25,119.49810794662417,200.66889632107024,94.72188601799716,285.0,0,1,0,24.1,36.1,54.1,False,1.6
ANT,85.411,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.00099999999999,0.3,120.52629816866987,202.30401798257935,95.37181762789095,292.25,1,1,0,24.1,36.1,54.1,False,1.6
NOR,85.857,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.68799999999999,0.35,119.24478304074196,197.87830484252183,96.066606180285,278.0,1,1,0,24.1,36.1,54.1,False,1.6
OCO,86.186,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.596,0.4,118.30041733758338,204.0584967690738,94.45595990869256,277.25,1,1,0,24.1,36.1,54.1,False,1.6
GAS,85.894,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.51533333333333,0.45,118.31596936931015,202.57723256991727,95.50084889643463,288.5,1,1,0,24.1,36.1,54.1,False,1.6
BOR,86.032,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.63133333333333,0.5,118.35875854813257,195.49280477871304,96.77159216150103,280.75,1,1,0,24.1,36.1,54.1,False,1.6
BEA,85.92,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.54166666666667,0.55,116.6483053593416,200.32274219575984,97.06905384636124,282.0,1,1,0,24.1,36.1,54.1,False,1.6
ALO,87.424,SOFT,4.0,16.0,1.0,1,Australian Grand Prix,2,4,-0.06,87.511,0.6,115.52161216827649,195.15368352577656,95.20283492886233,272.0,1,1,0,24.1,36.1,54.1,False,1.6
VER,86.571,HARD,4.0,16.0,1.0,1,Australian Grand Prix,3,9,-0.09,86.83166666666666,0.65,117.85118014862343,200.80321285140562,94.49811003779926,282.0,1,1,0,24.1,36.1,54.1,False,1.6
SAI,87.216,SOFT,4.0,16.0,1.0,1,Australian Grand Prix,1,1,-0.03,87.216,0.75,117.99023303071024,195.9503592423253,93.91386012052278,284.25,1,1,0,24.1,36.1,54.1,False,1.6
COL,86.812,HARD,4.0,16.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.8735,0.8,117.20657659124205,201.0948497374595,94.25317449928002,287.75,1,1,0,24.1,36.1,54.1,False,1.6
LAW,86.661,MEDIUM,4.0,16.0,1.0,1,Australian Grand Prix,2,4,-0.06,86.765,0.85,117.45897092890469,200.0222246916324,94.7019519124533,280.25,1,1,0,24.1,36.1,54.1,False,1.6
